id	longitude	latitude	country
1	-57.87	-51.7	Falkland Islands
6	45.83	-67.67	Antarctica
10	106.87	-78.45	Antarctica
14	159.38	-69.5	Antarctica
15	158.95	-54.5	Australia
19	-26	75.5	Greenland
20	-26	75.52	Greenland
21	-26	75.6	Greenland
23	-68.13	-67.57	Antarctica
24	-68.13	-67.57	Antarctica
25	-68.13	-67.57	Antarctica
26	14.13	48.05	Austria
27	16.57	48.12	Austria
28	16.57	48.12	Austria
29	11.35	47.27	Austria
30	12.95	47.05	Austria
31	13	47.8	Austria
32	13	47.8	Austria
33	13.63	47.72	Austria
34	13.67	46.6	Austria
35	14.33	46.65	Austria
36	15.45	47.08	Austria
37	15.45	47.08	Austria
38	106.83	-6.18	Indonesia
39	-123.53	48.58	Canada
41	-123.92	48.38	Canada
42	-123.31	48.46	Canada
43	-123.32	48.42	Canada
44	-123.43	48.65	Canada
45	-123.75	48.37	Canada
46	-123.46	48.53	Canada
49	-125.27	49.95	Canada
50	-124.9	49.72	Canada
53	-123.87	49.05	Canada
54	-127.37	50.68	Canada
57	-127.95	50.92	Canada
61	-128.12	50.63	Canada
63	-124.83	49.25	Canada
67	-125.78	49.08	Canada
68	-122.95	50.15	Canada
70	-124.5	49.83	Canada
71	-123.16	49.78	Canada
72	-122.95	50.13	Canada
76	-133.05	54.25	Canada
78	-131.81	53.25	Canada
79	-126.6	52.39	Canada
80	-130.63	53.5	Canada
89	-130.38	54.28	Canada
90	-130.44	54.29	Canada
91	-129.99	55.94	Canada
92	-128.58	54.47	Canada
93	-127.18	54.83	Canada
94	-124.93	51.98	Canada
95	-122.74	50.3	Canada
96	-124.08	52.12	Canada
97	-124.14	52.11	Canada
98	-125.77	54.23	Canada
99	-125.95	54.38	Canada
100	-124.25	54.42	Canada
101	-122.68	53.89	Canada
102	-122.51	53.03	Canada
103	-122.05	52.18	Canada
104	-122.36	49.02	Canada
105	-121.77	49.25	Canada
106	-122.69	49.21	Canada
107	-123.18	49.2	Canada
108	-123.19	49.35	Canada
109	-122.78	49.02	Canada
110	-121.48	49.37	Canada
111	-121.5	49.37	Canada
112	-121.58	50.22	Canada
113	-121.57	50.23	Canada
114	-121.58	50.23	Canada
115	-119.38	49.96	Canada
116	-119.44	49.03	Canada
117	-119.6	49.46	Canada
118	-120.51	49.47	Canada
119	-119.28	50.23	Canada
120	-119.19	50.22	Canada
121	-119.64	49.56	Canada
122	-117.63	49.3	Canada
123	-117.81	50.27	Canada
124	-117.92	49.15	Canada
125	-117.31	49.49	Canada
126	-116.5	49.08	Canada
127	-115.78	49.61	Canada
128	-115.78	49.73	Canada
129	-114.88	49.74	Canada
130	-114.89	49.74	Canada
131	-119.29	52.13	Canada
132	-121.5	51.15	Canada
133	-120.44	50.7	Canada
134	-119.29	50.7	Canada
135	-116.98	51.3	Canada
136	-118.18	50.96	Canada
137	-118.2	51	Canada
138	-118.17	50.95	Canada
139	-116.34	51.44	Canada
140	-121.38	57.38	Canada
141	-121.63	55.69	Canada
142	-120.18	55.74	Canada
143	-120.74	56.24	Canada
144	-124.7	55.79	Canada
145	-123.14	55.3	Canada
146	-130.02	58.43	Canada
147	-130.01	58.43	Canada
148	-122.6	58.84	Canada
149	-126.43	59.9	Canada
150	-130.03	58.42	Canada
151	-137.48	61.65	Canada
152	-140.87	62.41	Canada
153	-139.05	61.37	Canada
154	-139.43	64.05	Canada
155	-139.13	64.04	Canada
156	-133.38	62.21	Canada
157	-133.35	62.23	Canada
158	-137.58	60.77	Canada
160	-140.15	69.16	Canada
162	-140.18	69.58	Canada
163	-130.04	63.24	Canada
164	-135.87	63.62	Canada
165	-139.84	67.57	Canada
166	-139.84	67.57	Canada
167	-136.22	66.98	Canada
168	-137.22	68.95	Canada
169	-140.4	62.37	Canada
170	-132.74	60.17	Canada
171	-128.82	60.12	Canada
172	-128.82	60.12	Canada
173	-135.07	60.71	Canada
174	-135	68.22	Canada
175	-135.01	68.22	Canada
177	-126.08	67.04	Canada
178	-123.43	65.22	Canada
179	-124.47	61.26	Canada
180	-123.44	65.21	Canada
181	-128.65	66.24	Canada
182	-128.65	66.23	Canada
183	-128.63	66.25	Canada
184	-123.47	60.23	Canada
185	-123.47	60.23	Canada
186	-134.86	67.41	Canada
187	-125.57	64.91	Canada
188	-117.6	61.32	Canada
189	-109.17	62.72	Canada
190	-109.17	62.71	Canada
191	-113.69	61.18	Canada
192	-121.35	61.87	Canada
193	-121.24	61.76	Canada
