id	longitude	latitude	country
2	-58.97	-69.5	NA
3	-136.87	-74.77	NA
4	11.83	-70.77	NA
5	39.58	-69	NA
7	62.87	-67.6	NA
8	77.97	-68.58	NA
9	93.02	-66.55	NA
11	110.53	-66.28	NA
12	110.53	-66.28	NA
13	140	-66.67	NA
16	-68.92	-67.77	NA
17	-64.27	-65.25	NA
18	-64.27	-65.25	NA
22	-26	-75.58	NA
40	-123.05	48.78	NA
47	-126.93	50.58	NA
48	-124.16	49.35	NA
51	-123.8	49.22	NA
52	-125.99	50.45	NA
55	-124.44	49.49	NA
56	-125.54	48.92	NA
58	-128.43	50.78	NA
59	-126.55	49.38	NA
60	-126.55	49.38	NA
62	-125.1	48.72	NA
64	-128.91	50.82	NA
65	-127.94	50.11	NA
66	-127.42	50	NA
69	-123.3	49.49	NA
73	-131.02	51.94	NA
74	-132.77	53.32	NA
75	-133.06	54.26	NA
77	-131.66	54.16	NA
81	-127.47	52.19	NA
82	-131.6	53.03	NA
83	-128.11	52.19	NA
84	-129.68	53.05	NA
85	-130.7	54.58	NA
86	-127.64	50.95	NA
87	-130.36	54.17	NA
88	-128.72	52.26	NA
159	-138.91	69.57	NA
161	-140.2	69.61	NA
176	-124.72	70.17	NA
235	-115.12	67.83	NA
236	-115.14	67.82	NA
241	-95.85	68.64	NA
254	-62.28	82.52	NA
255	-62.28	82.52	NA
256	-85.15	73.03	NA
265	-66.81	68.47	NA
270	-85.93	79.98	NA
271	-94.25	71.92	NA
273	-82.9	76.42	NA
274	-81.24	68.78	NA
278	-64.85	60.42	NA
284	-75.28	68.93	NA
290	-86.23	66.52	NA
292	-64.88	61.3	NA
293	-64.63	61.6	NA
455	-94.18	58.78	NA
456	-94.18	58.78	NA
506	-80.65	51.27	NA
507	-80.61	51.29	NA
559	-70.81	47	NA
564	-72.52	46.35	NA
587	-57.22	51.42	NA
590	-59.64	50.47	NA
593	-59.5	50.53	NA
594	-63.6	50.25	NA
597	-64.23	50.27	NA
600	-61.82	50.18	NA
603	-67.38	49.32	NA
605	-64.32	48.42	NA
609	-61.7	49.09	NA
611	-65.33	48.01	NA
613	-64.35	49.82	NA
616	-64.4	49.02	NA
655	-77.93	62.42	NA
681	-66.45	45.07	NA
687	-65.47	43.45	NA
688	-62.33	44.82	NA
689	-66.35	44.29	NA
690	-60.97	45.32	NA
695	-61.25	45.52	NA
696	-61.05	46.55	NA
698	-63.57	44.65	NA
700	-60.98	45.35	NA
704	-60.14	47.23	NA
706	-63.52	44.63	NA
712	-64.66	43.99	NA
715	-61.99	46.46	NA
719	-54	47.3	NA
720	-54	47.3	NA
723	-53.11	48.67	NA
732	-56.11	50.72	NA
733	-57.1	51.02	NA
735	-53.02	47.5	NA
